AuthorID,Author,Date,Content,Attachments,Reactions
"702173163831689267","stolas_goetia_","2026-05-03T11:18:53.3200000+09:00","甲斐町公園","https://cdn.discordapp.com/attachments/1280905549227102210/1500320714585149593/1f1654fd348c9123.png?ex=6a30b28c&is=6a2f610c&hm=16800d699404a01cd77dd47e40779a1dc8bd04696045870bedc8509d9239365c&,https://cdn.discordapp.com/attachments/1280905549227102210/1500320714971156631/-7b6ee479021700ba.png?ex=6a30b28d&is=6a2f610d&hm=063eced97110413ee9fb56b45d95f2912c63884130086b651db939f8f0a235c6&,https://cdn.discordapp.com/attachments/1280905549227102210/1500320715319017482/-7184690dda66de35.png?ex=6a30b28d&is=6a2f610d&hm=20939bb62bfe802f7cffab215c8c8bcf4a52ed68be1ab00248e247a981ff47c2&,https://cdn.discordapp.com/attachments/1280905549227102210/1500320715784720424/20260503_100825.jpg?ex=6a30b28d&is=6a2f610d&hm=698a029e96757a68d05b1887a99f55e714832c611a6601e7b87f34ae57cdf748&","👍 (5),❤️ (3)"
"739988936092418122","k.sakanoshita","2026-05-03T15:53:36.1950000+09:00","お疲れ様でした！結構な量の建物書かれましたね。すごい。","","🏘️ (1)"
"739988936092418122","k.sakanoshita","2026-05-03T15:54:38.8550000+09:00","お疲れ様でした！花博近くの地図も充実してきましたね。","",""
"739988936092418122","k.sakanoshita","2026-05-03T15:56:05.5460000+09:00","お疲れ様でした！JOSM使いがみんな熟練とは限らないのがありますよね（汗","",""
"739988936092418122","k.sakanoshita","2026-05-03T15:56:33.8220000+09:00","お疲れ様でした！丁寧な公園マッピングですね。","","⭐ (1)"
"709289083867758625","alt9800","2026-05-03T19:24:08.1460000+09:00","新興住宅地(といっても10年ものくらいですが)も道路も書かれてなくてギョッとしますね〜、頑張って追加しなきゃ... ＠柳川市","https://cdn.discordapp.com/attachments/1280905549227102210/1500442832144437279/image.png?ex=6a312448&is=6a2fd2c8&hm=2821d1ddbec6fe4542f3c286ba59dbd57e7c90af6de983d82c9b38feab9cd887&","❤️ (2)"
"702173163831689267","stolas_goetia_","2026-05-03T19:57:22.0980000+09:00","福岡県柳川市間ですね、わかりました.
近いうちに佐賀へ行く予定なので、その際にここを通れるか確認して、地図編集をしようと思っています。","","🙇‍♂️ (1)"
"739988936092418122","k.sakanoshita","2026-05-04T11:10:40.0630000+09:00","すみませんが、この投稿はOpenStreetMapと関係あるかご返答ください。","",""
"1390087633496969299","nguyenhoangan1235","2026-05-04T11:33:06.0710000+09:00","tại sao anh lại ở đây? server này cấm ko quảng cáo rác.
(なぜここにいるのですか？このサーバーはスパム広告を禁止しています。)","",""
"282346512065888266","gray27","2026-05-04T17:04:35.8640000+09:00","インドアマッピングと呼べるほどではないけれど","https://cdn.discordapp.com/attachments/1280905549227102210/1500770103699181599/image.png?ex=6a310393&is=6a2fb213&hm=0d493d33789ab1fc80c0179abb705bd2a9951184c5f1c096570307766022f469&,https://cdn.discordapp.com/attachments/1280905549227102210/1500770104097505451/image.png?ex=6a310393&is=6a2fb213&hm=59a17bc80e077d7197edd55c6dcd15ac973e4203e6e67c67515922064fcd8fec&","👍 (4)"
